Size,Merge Sort,Quick Sort,Standar Sort,Type
1000000,92,74,54,random
2000000,191,149,123,random
3000000,299,231,187,random
4000000,407,309,249,random
5000000,512,394,310,random
6000000,633,483,379,random
7000000,750,549,451,random
8000000,833,655,505,random
9000000,987,743,589,random
10000000,1091,812,648,random
1000000,31,,8,sorted
2000000,66,,17,sorted
3000000,108,,28,sorted
4000000,141,,39,sorted
5000000,191,,60,sorted
6000000,222,,60,sorted
7000000,254,,71,sorted
8000000,283,,81,sorted
9000000,319,,95,sorted
10000000,365,,112,sorted
1000000,30,,6,inverted
2000000,63,,13,inverted
3000000,105,,21,inverted
4000000,136,,29,inverted
5000000,175,,38,inverted
6000000,221,,49,inverted
7000000,325,,53,inverted
8000000,273,,61,inverted
9000000,307,,72,inverted
10000000,363,,79,inverted
1000000,38,,7,same
2000000,64,,15,same
3000000,105,,25,same
4000000,151,,33,same
5000000,178,,45,same
6000000,234,,55,same
7000000,244,,62,same
8000000,293,,71,same
9000000,318,,89,same
10000000,371,,96,same
1000000,90,69,55,random2
2000000,193,147,117,random2
3000000,294,227,180,random2
4000000,391,308,245,random2
5000000,513,379,311,random2
6000000,653,467,383,random2
7000000,773,546,599,random2
8000000,824,638,520,random2
9000000,944,728,584,random2
10000000,1058,805,655,random2
